Symbol,Name,Dividend Yield,AUM ,Price Decay
BAGY,Amplify Bitcoin Max Income Covered Call ETF,37.00%,12M,YES
HCOW,Amplify COWS Covered Call ETF,12.20%,18M,YES
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,15.00%,46M,YES
OMAH,VistaShares Target 15 Berkshire Select Income ETF,15.00%,1131M,YES
DRKY,VistaShares Target 15™ DRUKMacro Distribution ETF,15.00%,18M,NO
QUSA,VistaShares Target 15™ USA Quality Income ETF,15.00%,22M,YES
SIOO,VistaShares Target 15™ S&P 100 Distribution ETF,15.00%,20M,NO
XYLD,Global X S&P 500 Covered Call ETF,11.00%,3360M,YES
BALI,iShares US Large Cap Premium Income Active ETF,7.00%,1320M,NO
SCHP,Schwab U.S. TIPS ETF,3.20%,16081M,NO
RYLD,Global X Russell 2000 Covered Call ETF,12.20%,1360M,YES
QYLD,Global X Nasdaq 100 Covered Call ETF,12.20%,8300M,YES
JEPI,JPMorgan Equity Premium Income ETF,7.50%,46261M,NO
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,11.70%,41810M,NO
MAXI,Simplify Bitcoin Strategy PLUS Income ETF,9.00%,34M,YES
SVOL,Simplify Volatility Premium ETF,20.00%,534M,YES
BITO,ProShares Bitcoin ETF,61.00%,1720M,YES
KQQQ,Kurv Technology Titans Select ETF,14.00%,125M,NO
GPIQ,Goldman Sachs Nasdaq-100 Premium Income ETF,10.00%,5440M,NO
TSPY,TappAlpha S&P 500 Growth & Daily Income ETF,14.20%,321M,NO
TDAQ,TappAlpha Innovation 100 Growth & Daily Income ETF,17.40%,328M,NO
SPYT,Defiance S&P 500 Income Target ETF,21.00%,159M,YES
ISPY,ProShares S&P 500 High Income ETF,10.00%,1220M,NO
KGLD,Kurv Gold Enhanced Income ETF,15.60%,151M,NO
FTHI,First Trust BuyWrite Income ETF,9.00%,2490M,NO
BUYW,Main BuyWrite ETF,6.00%,1350M,NO
XLEI,State Street Energy Select Sector SPDR Premium Income ETF,21.00%,73M,NO
XLKI,State Street Technology Select Sector SPDR Premium Income ETF,19.00%,16M,NO
KNG,FT Vest S&P 500 Dividend Aristocrats Target Income ETF,8.00%,3480M,NO
OVL,Overlay Shares Large Cap Equity ETF,10.50%,437M,NO
KHPI,Kensington Hedged Premium Income ETF,9.00%,426M,NO
QDPL,Pacer Metaurus US Large Cap Dividend Multiplier 400 ETF,5.18%,1810M,NO
QSIX,Pacer Metaurus Nasdaq 100 Dividend Multiplier 600 ETF,4.65%,18M,NO
TYLG,Information Technology Covered Call & Growth ETF,11.00%,15M,NO
EGGY,NestYield Dynamic Income ETF,37.00%,158M,YES
EGGS,NestYield Total Return ETF,24.00%,58M,YES
ROCY,JPMorgan Equity Premium Yield ETF,8.00%,601M,NO
OVS,Overlay Shares Small Cap Equity ETF (OVS),10.50%,39M,NO
OVF,Overlay Shares Foreign Equity ETF (OVF),10.40%,62M,NO
TMGN,TappAlpha Cboe Magnificent 10 Growth & Daily Income ETF,21.00%,14M,NO
SEPI,Shelton Equity Premium Income ETF,8.5%,185M,NO
SPUC,Simplify US Equity Income ETF,12.00%,239M,NO
QVOL,Infrastructure Capital Nasdaq Option Income ETF,11.00%,48M,NO
VFLO,VictoryShares Free Cash Flow ETF,7.00%,1121M,NO
FOXY,Simplify Currency Strategy ETF,8.80%,352M,NO
IACL,GraniteShares US 100 Autocallable Income ETF,0.00%,2M,NO
PDI,PIMCO Dynamic Income Fund,16.10%,7500M,YES
PTY,PIMCO Corporate & Income Opportunity Fund,12.0%,2500M,YES
AMZP,Kurv Yield Premium Strategy Amazon ETF,15.5%,18M,YES
BIGY,YieldMax® Target 12™ Big 50 Option Income ETF,12.00%,45M,NO
FTQI,First Trust Nasdaq BuyWrite Income ETF,11.00%,961M,NO
JPIE,JPMorgan Income ETF,7.00%,10660M,YES
OVB,Overlay Shares Core Bond ETF,6.11%,48M,YES
OVM,Overlay Shares Municipal Bond ETF,5.14%,45M,YES
OVT,Overlay Shares Short Term Bond ETF,6.35%,61M,NO
RDVI,FT Vest Rising Dividend Achievers Target Income ETF,7.96%,3740M,NO
RNTY,YieldMax® Target 12™ Real Estate Option Income ETF,12.03%,6M,YES
SGOV,iShares 0-3 Month Treasury Bond ETF,3.50%,10718M,NO
SPHY,State Street SPDR Portfolio High Yield Bond ETF,7.54%,12050M,YES
TPRY,VistaShares Target 15™ TEPRTantrum Contrarian Distribution ETF,15.02%,5M,YES
TDVI,FT Vest Technology Dividend Target Income ETF,7.4%,576M,NO
EGGQ,NestYield Visionary ETF,9.50%,81M,NO
VOOY,XFUNDS Large Cap Income ETF,0.0%,2.6M,YES
